NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2014;33;RJ;3303302;Niterói;33165998;COLEGIO PH;4;1;71;0;65;91.55;615.29;653.04;598.45;683.81;725.23;;;;75.00;46.15;97.00;3.00;0.00;De 61 a 90 alunos
2015;33;RJ;3303302;Niterói;33165998;COLEGIO PH;4;1;90;0;87;96.67;599.87;663.23;598.15;654.48;713.79;;;Grupo 6;83.30;71.26;97.50;2.50;0.00;De 61 a 90 alunos
2012;33;RJ;3303302;Niterói;33165998;COLEGIO PH;4;1;16;;16;100.00;607.69;663.38;608.68;685.37;763.75;;;;;;96.20;3.80;0.00;De 1 a 30 alunos
2013;33;RJ;3303302;Niterói;33165998;COLEGIO PH;4;1;41;0;38;92.68;608.07;657.89;612.08;665.33;764.21;;;;78.00;;99.00;1.00;0.00;De 31 a 60 alunos
2012;33;RJ;3303302;Niterói;33229007;COLEGIO GRAFITE - SALA DE EDUCAR LTDA;4;1;37;;31;83.78;528.31;585.14;529.05;603.71;581.94;;;;;;96.50;3.50;0.00;De 31 a 60 alunos
2009;33;RJ;3303302;Niterói;33229007;COLEGIO GRAFITE - SALA DE EDUCAR LTDA;4;1;25;;29;100.00;524.76;531.68;496.02;499.2;605.17;;;;;;88.60;11.40;0.00;De 1 a 30 alunos
2010;33;RJ;3303302;Niterói;33229007;COLEGIO GRAFITE - SALA DE EDUCAR LTDA;4;1;24;;32;100.00;522.89;582.39;564.87;591.46;614.84;;;;;;90.20;9.80;0.00;De 1 a 30 alunos
2013;33;RJ;3303302;Niterói;33229007;COLEGIO GRAFITE - COLEGIO SALA DE EDUCAR LTDA-ME;4;1;33;0;27;81.82;525.48;563.71;535.87;585.86;551.11;;;;82.60;;94.80;4.30;0.90;De 31 a 60 alunos
2014;33;RJ;3303302;Niterói;33229007;COLEGIO GRAFITE - COLEGIO SALA DE EDUCAR LTDA-ME;4;1;29;0;25;86.21;513.93;580.02;537.34;544.1;548.80;;;;88.20;48.00;88.80;11.20;0.00;De 1 a 30 alunos
2015;33;RJ;3303302;Niterói;33229007;COLEGIO GRAFITE - COLEGIO SALA DE EDUCAR LTDA-ME;4;1;31;0;28;90.32;515.22;579.88;543.74;556.73;627.14;;;Grupo 5;80.40;71.43;;;;De 31 a 60 alunos
2011;33;RJ;3303302;Niterói;33229007;COLEGIO GRAFITE - SALA DE EDUCAR LTDA;4;1;36;;23;63.89;505.46;517.95;544.69;616.36;605.22;;;;;;86.70;10.80;2.50;De 31 a 60 alunos
2011;33;RJ;3303302;Niterói;33231265;COLEGIO OPCAO;4;1;30;;25;83.33;474.72;468.55;511.78;548.82;598.40;;;;;;74.50;25.50;0.00;De 1 a 30 alunos
2009;33;RJ;3303302;Niterói;33231265;COLEGIO OPCAO;4;1;17;;16;82.90;498.94;484.39;476.83;474.82;575.00;;;;;;73.70;24.60;1.70;De 1 a 30 alunos
2010;33;RJ;3303302;Niterói;33231265;COLEGIO OPCAO;4;1;19;;19;81.10;506.66;557.06;523.66;537.39;609.21;;;;;;89.50;7.00;3.50;De 1 a 30 alunos
2012;33;RJ;3303302;Niterói;33231265;COLEGIO OPCAO;4;1;41;;37;90.24;457.88;504.1;488.52;498.22;500.54;;;;;;71.90;28.10;0.00;De 31 a 60 alunos
2014;33;RJ;3303302;Niterói;33231265;COLEGIO OPCAO;4;1;46;0;29;63.04;489.71;557.36;519.01;456.87;528.97;;;;85.70;24.14;57.80;41.50;0.70;De 31 a 60 alunos
2015;33;RJ;3303302;Niterói;33231265;COLEGIO OPCAO;4;1;42;0;33;78.57;466.19;554.88;511.75;450.04;542.42;;;Grupo 4;87.00;39.39;65.20;34.80;0.00;De 31 a 60 alunos
2013;33;RJ;3303302;Niterói;33231265;COLEGIO OPCAO;4;1;49;0;30;61.22;473.7;525.8;503.44;515.7;548.67;;;;85.00;;92.00;7.20;0.80;De 31 a 60 alunos
2010;33;RJ;3303302;Niterói;33326207;CENTRO EDUCACIONAL GOMES PEREIRA;4;1;22;;14;63.60;534.61;579.34;573.56;541.64;682.14;;;;;;57.70;42.30;0.00;De 1 a 30 alunos
2014;33;RJ;3303302;Niterói;33326207;CENTRO EDUCACIONAL GOMES PEREIRA;4;1;29;0;24;82.76;528.43;587.45;540.39;520.6;587.50;;;;52.10;87.50;68.50;31.50;0.00;De 1 a 30 alunos
2012;33;RJ;3303302;Niterói;33326207;CENTRO EDUCACIONAL GOMES PEREIRA;4;1;26;;23;88.46;497.29;562.53;533.08;533.54;538.26;;;;;;55.20;44.00;0.80;De 1 a 30 alunos
2011;33;RJ;3303302;Niterói;33326207;CENTRO EDUCACIONAL GOMES PEREIRA;4;1;29;;18;62.07;535.06;526.21;576.31;620.74;590.00;;;;;;64.90;35.10;0.00;De 1 a 30 alunos
